7.2,3.4,3.2,1.3,Class_B
6.2,3.5,1.4,1.9,Class_B
6.1,3.3,1.4,0.4,Class_C
6.3,3.9,2.5,2.2,Class_C
5.5,3.2,1.6,1.2,Class_C
5.0,2.1,4.2,0.2,Class_B
7.1,2.8,3.7,0.9,Class_C
5.6,2.6,1.4,2.0,Class_A
4.7,3.3,2.2,1.7,Class_A
4.9,3.5,1.4,1.2,Class_C
5.9,4.3,4.1,0.4,Class_B
4.2,4.4,5.2,0.5,Class_B
7.2,3.3,4.5,1.5,Class_A
5.4,3.6,2.1,0.1,Class_A
7.4,4.3,1.3,0.6,Class_C
7.3,4.1,2.6,0.4,Class_C
4.6,3.6,6.5,2.4,Class_C
6.0,2.0,2.9,0.6,Class_A
7.4,2.1,4.5,2.4,Class_B
6.6,3.1,1.6,1.7,Class_B
5.9,3.4,6.6,1.7,Class_B
4.1,2.4,5.3,0.7,Class_A
4.2,2.7,3.4,1.3,Class_A
5.1,2.5,2.9,0.6,Class_C
6.1,2.5,5.6,0.2,Class_A
7.7,2.9,1.8,2.2,Class_C
7.9,4.1,3.1,2.5,Class_C
4.2,4.2,4.7,1.4,Class_B
5.4,2.5,6.5,2.4,Class_C
5.7,2.4,1.6,0.7,Class_A
5.2,2.8,1.9,0.3,Class_C
4.9,4.3,1.9,1.1,Class_C
6.8,4.0,1.7,1.0,Class_A
7.6,2.6,3.4,2.0,Class_B
4.1,2.1,2.0,1.5,Class_C
4.1,3.6,2.3,0.4,Class_C
7.7,2.5,6.3,1.4,Class_A
7.0,3.8,2.0,1.3,Class_B
5.2,2.6,1.7,0.3,Class_B
5.9,4.4,4.9,1.1,Class_A
4.7,4.0,3.5,2.0,Class_A
6.7,3.0,3.2,2.1,Class_C
6.5,4.3,5.8,2.2,Class_B
4.7,2.6,1.4,0.5,Class_C
5.3,2.3,5.9,2.3,Class_A
4.6,2.6,1.2,0.8,Class_A
7.4,2.9,3.7,0.5,Class_B
7.1,4.0,3.3,1.2,Class_A
4.5,4.0,6.0,1.2,Class_C
5.8,3.5,6.6,1.0,Class_A
6.2,3.3,4.7,1.8,Class_C
6.4,2.8,3.9,1.3,Class_A
5.0,3.1,5.3,1.5,Class_C
6.9,2.4,1.1,1.3,Class_B
7.2,4.2,5.3,0.2,Class_B
5.9,2.8,4.6,2.0,Class_C
4.7,2.5,2.6,2.2,Class_A
7.0,2.5,1.4,0.4,Class_A
6.2,3.9,1.4,1.8,Class_A
7.8,3.8,1.2,0.4,Class_C
7.4,2.0,4.3,1.4,Class_A
5.5,2.2,5.4,1.5,Class_A
4.1,3.0,4.9,1.8,Class_C
5.9,3.4,6.1,1.7,Class_A
6.2,4.1,4.3,1.7,Class_B
6.6,2.1,4.1,0.5,Class_C
4.9,3.4,5.8,1.4,Class_A
7.0,4.2,3.8,0.5,Class_C
7.0,2.6,4.1,1.9,Class_B
4.2,2.7,4.2,1.6,Class_A
4.4,2.4,3.1,0.7,Class_B
6.6,3.3,3.0,0.5,Class_B
